Departamento,Municipio,TotalAccidentes
ATLÁNTICO,BARANOA,91
GUAJIRA,ALBANIA,91
HUILA,SUAZA,90
CUNDINAMARCA,CAQUEZA,89
MAGDALENA,PUEBLOVIEJO,89
CUNDINAMARCA,LA VEGA,89
RISARALDA,LA VIRGINIA,88
CASANARE,VILLANUEVA,88
SUCRE,SAN MARCOS,87
CESAR,SAN DIEGO,87
ANTIOQUIA,VALDIVIA,86
NARIÑO,TÚQUERRES,86
ANTIOQUIA,CAREPA,86
BOLÍVAR,SANTA ROSA,85
CASANARE,PAZ DE ARIPORO,85
HUILA,LA PLATA,83
SANTANDER,SAN GIL,83
ANTIOQUIA,PUERTO BERRÍO,83
NORTE DE SANTANDER,ABREGO,82
PUTUMAYO,PUERTO ASÍS,82
ANTIOQUIA,DABEIBA,82
ANTIOQUIA,SAN LUIS,82
CÓRDOBA,SAN PELAYO,82
BOLÍVAR,SAN JUAN NEPOMUCENO,82
SANTANDER,BARBOSA,82
ANTIOQUIA,PUERTO TRIUNFO,82
SANTANDER,RIONEGRO,81
CESAR,PAILITAS,81
CUNDINAMARCA,SILVANIA,81
ANTIOQUIA,YARUMAL,80
TOLIMA,COELLO,80
CÓRDOBA,MONTELÍBANO,79
CESAR,LA GLORIA,79
CÓRDOBA,LOS CÓRDOBAS,79
CALDAS,SUPÍA,77
VALLE,ANSERMANUEVO,76
VALLE,ROLDANILLO,76
CAUCA,CALDONO,76
GUAJIRA,SAN JUAN DEL CESAR,75
VALLE,ANDALUCÍA,75
ANTIOQUIA,LA CEJA,74
CASANARE,MONTERREY,74
BOYACÁ,NOBSA,74
CASANARE,TAURAMENA,74
CUNDINAMARCA,GUAYABETAL,74
CÓRDOBA,LA APARTADA,74
CUNDINAMARCA,SIBATÉ,73
BOLÍVAR,SANTA CATALINA,72
CAUCA,ROSAS,72
NARIÑO,CHACHAGÜÍ,71
VALLE,LA UNIÓN,71
ANTIOQUIA,SANTA BÁRBARA,71
CÓRDOBA,BUENAVISTA,70
GUAJIRA,URIBIA,70
CESAR,LA PAZ,70
ANTIOQUIA,TARAZÁ,69
CAUCA,CALOTO,69
CUNDINAMARCA,LA MESA,68
ATLÁNTICO,PUERTO COLOMBIA,68
TOLIMA,SALDAÑA,68
CESAR,BECERRIL,68
CUNDINAMARCA,SESQUILÉ,67
MAGDALENA,ARACATACA,67
ARAUCA,FORTUL,66
BOYACÁ,TIBASOSA,66
SANTANDER,SOCORRO,66
MAGDALENA,EL BANCO,66
ATLÁNTICO,GALAPA,65
ANTIOQUIA,MARINILLA,64
META,PUERTO GAITÁN,64
META,FUENTE DE ORO,64
META,CUMARAL,63
TOLIMA,HONDA,63
CALDAS,RIOSUCIO,63
CÓRDOBA,SAN ANTERO,63
NORTE DE SANTANDER,LA ESPERANZA,62
GUAJIRA,BARRANCAS,62
ATLÁNTICO,JUAN DE ACOSTA,61
ANTIOQUIA,SANTAFÉ DE ANTIOQUIA,61
SUCRE,COROZAL,61
SUCRE,SAMPUÉS,61
ANTIOQUIA,EL SANTUARIO,61
CUNDINAMARCA,SOPÓ,60
VALLE,CAICEDONIA,60
GUAJIRA,FONSECA,60
META,SAN MARTÍN,60
NARIÑO,TANGUA,59
BOLÍVAR,MOMPÓS,59
CUNDINAMARCA,VILLAPINZÓN,59
CAUCA,MERCADERES,59
NORTE DE SANTANDER,PUERTO SANTANDER,59
SANTANDER,TONA,58
CALDAS,ANSERMA,58
SUCRE,TOLÚ VIEJO,58
CUNDINAMARCA,COGUA,58
CUNDINAMARCA,CHIPAQUE,58
MAGDALENA,PLATO,58
ATLÁNTICO,LURUACO,57
CALDAS,NEIRA,57
CUNDINAMARCA,RICAURTE,57
ANTIOQUIA,EL CARMEN DE VIBORAL,56
ANTIOQUIA,LA PINTADA,56
CAQUETÁ,SAN VICENTE DEL CAGUÁN,56
NORTE DE SANTANDER,SARDINATA,55
BOYACÁ,PAIPA,55
BOYACÁ,MONIQUIRÁ,55
ANTIOQUIA,COCORNÁ,55
CUNDINAMARCA,TENJO,54
ATLÁNTICO,PONEDERA,54
QUINDÍO,CIRCASIA,54
VALLE,RIOFRÍO,53
BOYACÁ,CHIQUINQUIRÁ,53
PUTUMAYO,VALLE DEL GUAMUEZ,53
BOYACÁ,SANTANA,53
CAUCA,TOTORÓ,53
CASANARE,PORE,53
CUNDINAMARCA,GACHANCIPÁ,53
SUCRE,COVEÑAS,53
SANTANDER,PUERTO WILCHES,52
NARIÑO,TAMINANGO,52
CESAR,RÍO DE ORO,52
BOLÍVAR,SAN PABLO,52
TOLIMA,VENADILLO,52
BOLÍVAR,MAHATES,52
META,GUAMAL,52
TOLIMA,FRESNO,52
ANTIOQUIA,SAN JERÓNIMO,52
CUNDINAMARCA,LA CALERA,52
VALLE,SEVILLA,51
CASANARE,HATO COROZAL,51
META,RESTREPO,51
QUINDÍO,MONTENEGRO,51
CAUCA,CORINTO,51
CUNDINAMARCA,SUTATAUSA,50
VALLE,GINEBRA,50
HUILA,ALTAMIRA,50
CUNDINAMARCA,TOCAIMA,50
MAGDALENA,ALGARROBO,50
TOLIMA,LÉRIDA,49
TOLIMA,ORTEGA,49
TOLIMA,ARMERO,49
HUILA,SAN AGUSTÍN,49
CAUCA,MIRANDA,48
VALLE,CALIMA,48
CUNDINAMARCA,EL COLEGIO,48
META,PUERTO LLERAS,48
TOLIMA,PURIFICACIÓN,48
QUINDÍO,QUIMBAYA,47
SANTANDER,EL PLAYÓN,47
CASANARE,MANÍ,47
SANTANDER,PUERTO PARRA,47
ANTIOQUIA,ARBOLETES,47
GUAVIARE,SAN JOSÉ DEL GUAVIARE (CT),47
CAUCA,EL TAMBO,47
HUILA,TESALIA,46
BOYACÁ,SAMACÁ,45
CÓRDOBA,SAN BERNARDO DEL VIENTO,45
PUTUMAYO,ORITO,45
HUILA,TIMANÁ,45
BOLÍVAR,SANTA ROSA DEL SUR,45
NARIÑO,MALLAMA,44
SANTANDER,OIBA,43
CUNDINAMARCA,SAN JUAN DE RÍO SECO,43
VALLE,OBANDO,43
CUNDINAMARCA,NILO,43
PUTUMAYO,VILLAGARZÓN,43
HUILA,HOBO,43
BOYACÁ,CÓMBITA,43
ATLÁNTICO,TUBARÁ,42
ANTIOQUIA,RETIRO,42
HUILA,ISNOS,42
TOLIMA,HERVEO,42
CALDAS,VILLAMARÍA,41
CUNDINAMARCA,SIMIJACA,41
META,BARRANCA DE UPÍA,40
RISARALDA,BELÉN DE UMBRÍA,40
MAGDALENA,ARIGUANÍ,40
BOLÍVAR,TURBANÁ,40
CASANARE,NUNCHÍA,39
ATLÁNTICO,PALMAR DE VARELA,39
ANTIOQUIA,YONDÓ,39
GUAJIRA,HATONUEVO,39
ANTIOQUIA,REMEDIOS,39
CÓRDOBA,PUEBLO NUEVO,38
NORTE DE SANTANDER,CHINÁCOTA,38
CÓRDOBA,PUERTO LIBERTADOR,38
CAQUETÁ,EL PAUJIL,38
NARIÑO,LA UNIÓN,38
CESAR,CHIMICHAGUA,38
CÓRDOBA,COTORRA,38
ATLÁNTICO,CAMPO DE LA CRUZ,37
VALLE,VIJES,37
TOLIMA,LÍBANO,37
NORTE DE SANTANDER,PAMPLONA,37
BOYACÁ,ARCABUCO,37
ATLÁNTICO,REPELÓN,36
VALLE,LA VICTORIA,36
NARIÑO,GUACHUCAL,36
SUCRE,MAJAGUAL,36
CAQUETÁ,EL DONCELLO,36
BOYACÁ,AQUITANIA,36
META,CASTILLA LA NUEVA,36
CUNDINAMARCA,PARATEBUENO,36
ANTIOQUIA,SANTO DOMINGO,36
NARIÑO,IMUÉS,36
ANTIOQUIA,ANDES,35
VALLE,RESTREPO,35
CAUCA,BUENOS AIRES,35
TOLIMA,FLANDES,35
TOLIMA,SAN LUIS,35
CUNDINAMARCA,NEMOCÓN,35
VALLE,TORO,35
CAUCA,PURACÉ,35
CUNDINAMARCA,BOJACÁ,35
ANTIOQUIA,SAN PEDRO,34
ANTIOQUIA,SALGAR,34
SUCRE,LOS PALMITOS,34
CAQUETÁ,SAN JOSÉ DEL FRAGUA,34
META,SAN JUAN DE ARAMA,34
ANTIOQUIA,CIUDAD BOLÍVAR,34
SANTANDER,SUAITA,34
BOLÍVAR,SAN JACINTO,34
CUNDINAMARCA,FÚQUENE,34
CUNDINAMARCA,GUASCA,33
VALLE,ALCALÁ,33
SANTANDER,ARATOCA,33
ANTIOQUIA,MACEO,33
SUCRE,SANTIAGO DE TOLÚ,33
NARIÑO,RICAURTE,33
ANTIOQUIA,YOLOMBÓ,33
CALDAS,VITERBO,32
PUTUMAYO,PUERTO CAICEDO,32
BOYACÁ,SOTAQUIRÁ,32
SANTANDER,SAN VICENTE DE CHUCURÍ,32
ANTIOQUIA,AMAGÁ,32
BOLÍVAR,SIMITÍ,32
SANTANDER,CURITÍ,32
ATLÁNTICO,SABANAGRANDE,32
ATLÁNTICO,SANTO TOMÁS,32
CALDAS,PALESTINA,31
CUNDINAMARCA,SUSA,31
CÓRDOBA,MOMIL,31
CAUCA,BOLÍVAR,31
MAGDALENA,SANTA ANA,31
CAUCA,GUACHENÉ,31
HUILA,ACEVEDO,31
META,SAN CARLOS DE GUAROA,31
CALDAS,AGUADAS,30
TOLIMA,SUÁREZ,30
META,PUERTO RICO,30
SUCRE,SAN PEDRO,30
META,PUERTO CONCORDIA,30
CÓRDOBA,AYAPEL,30
CAUCA,SUÁREZ,30
ANTIOQUIA,SOPETRÁN,30
CAUCA,SILVIA,29
BOLÍVAR,CALAMAR,29
CAUCA,PAEZ,29
ANTIOQUIA,PEÑOL,29
NARIÑO,BUESACO,29
TOLIMA,ROVIRA,29
ANTIOQUIA,URRAO,29
SUCRE,OVEJAS,29
NARIÑO,ILES,28
SUCRE,MORROA,28
SANTANDER,PUENTE NACIONAL,28
RISARALDA,BALBOA,28
VICHADA,PUERTO CARREÑO (CT),28
NARIÑO,CUMBAL,28
RISARALDA,QUINCHÍA,28
GUAJIRA,URUMITA,28
CUNDINAMARCA,EL ROSAL,28
CUNDINAMARCA,TENA,27
MAGDALENA,NUEVA GRANADA,27
ANTIOQUIA,CONCORDIA,27
CUNDINAMARCA,SAN ANTONIO DEL TEQUENDAMA,27
SANTANDER,LOS SANTOS,27
CUNDINAMARCA,SASAIMA,27
META,LEJANÍAS,26
ANTIOQUIA,DON MATÍAS,26
CAQUETÁ,LA MONTAÑITA,26
CUNDINAMARCA,PACHO,26
HUILA,ALGECIRAS,26
BOLÍVAR,CLEMENCIA,26
NARIÑO,SAPUYES,26
NORTE DE SANTANDER,CACHIRÁ,26
CUNDINAMARCA,SAN FRANCISCO,26
BOYACÁ,PAJARITO,26
QUINDÍO,SALENTO,25
RISARALDA,APÍA,25
HUILA,GUADALUPE,25
PUTUMAYO,SAN MIGUEL,25
NORTE DE SANTANDER,TOLEDO,25
CALDAS,MARMATO,25
RISARALDA,PUEBLO RICO,25
BOYACÁ,SÁCHICA,25
CUNDINAMARCA,VIOTÁ,25
CUNDINAMARCA,ANAPOIMA,25
BOYACÁ,SABOYÁ,25
CAQUETÁ,PUERTO RICO,24
NORTE DE SANTANDER,EL TARRA,24
CUNDINAMARCA,APULO,24
NORTE DE SANTANDER,CONVENCIÓN,24
CESAR,TAMALAMEQUE,24
CUNDINAMARCA,ALBÁN,24
SANTANDER,PINCHOTE,24
VALLE,BOLÍVAR,24
CÓRDOBA,MOÑITOS,24
CALDAS,BELALCÁZAR,23
ANTIOQUIA,SEGOVIA,23
NORTE DE SANTANDER,BUCARASICA,23
CAUCA,INZÁ,23
ATLÁNTICO,PIOJÓ,23
NORTE DE SANTANDER,PAMPLONITA,23
CAUCA,TORIBIO,23
BOYACÁ,SANTA ROSA DE VITERBO,23
ANTIOQUIA,VEGACHÍ,23
CÓRDOBA,PURÍSIMA,23
SUCRE,SAN BENITO ABAD,23
CESAR,ASTREA,22
RISARALDA,MARSELLA,22
BOYACÁ,TUTA,22
PUTUMAYO,SIBUNDOY,22
SANTANDER,VÉLEZ,22
NARIÑO,SAMANIEGO,22
ANTIOQUIA,SAN JUAN DE URABÁ,22
BOYACÁ,VILLA DE LEYVA,22
CAQUETÁ,BELÉN DE LOS ANDAQUIES,22
NARIÑO,SANDONÁ,22
TOLIMA,ATACO,22
NORTE DE SANTANDER,MUTISCUA,22
RISARALDA,SANTUARIO,21
MAGDALENA,PIVIJAY,21
CUNDINAMARCA,LENGUAZAQUE,21
ATLÁNTICO,MANATÍ,21
SANTANDER,BETULIA,21
CUNDINAMARCA,TABIO,21
HUILA,PITAL,21
CASANARE,TRINIDAD,21
CASANARE,SABANALARGA,21
NARIÑO,GUAITARILLA,20
ANTIOQUIA,SAN VICENTE,20
CÓRDOBA,SAN CARLOS,20
TOLIMA,PLANADAS,20
TOLIMA,CARMEN DE APICALÁ,20
ANTIOQUIA,SAN ROQUE,20
BOYACÁ,BELÉN,20
CÓRDOBA,VALENCIA,20
ATLÁNTICO,SUAN,20
GUAJIRA,DISTRACCIÓN,20
META,VISTAHERMOSA,20
CUNDINAMARCA,TAUSA,20
CHOCÓ,TADÓ,20
ANTIOQUIA,ABEJORRAL,19
ANTIOQUIA,CAÑASGORDAS,19
SANTANDER,CHARALÁ,19
ANTIOQUIA,AMALFI,19
HUILA,TELLO,19
CAUCA,MORALES,19
VALLE,EL DOVIO,19
MAGDALENA,EL RETÉN,19
CASANARE,SAN LUIS DE PALENQUE,19
CALDAS,LA MERCED,19
NARIÑO,ALDANA,19
CHOCÓ,ATRATO,18
CHOCÓ,RIOSUCIO,18
CUNDINAMARCA,CHOACHÍ,18
VALLE,TRUJILLO,18
ANTIOQUIA,CISNEROS,18
SANTANDER,MOGOTES,18
GUAJIRA,LA JAGUA DEL PILAR,18
CALDAS,MANZANARES,18
AMAZONAS,LETICIA (CT),18
CALDAS,SALAMINA,17
GUAJIRA,VILLANUEVA,17
NARIÑO,CONTADERO,17
ANTIOQUIA,SABANALARGA,17
ANTIOQUIA,TITIRIBÍ,17
CALDAS,RISARALDA,17
CUNDINAMARCA,GUACHETÁ,17
VICHADA,LA PRIMAVERA,17
CUNDINAMARCA,GUATAVITA,17
CAUCA,BALBOA,17
CAQUETÁ,ALBANIA,17
HUILA,LA ARGENTINA,17
CUNDINAMARCA,SUESCA,17
BOYACÁ,CHITARAQUE,17
NARIÑO,SAN PABLO,16
HUILA,AGRADO,16
SAN ANDRÉS,PROVIDENCIA,16
CUNDINAMARCA,MEDINA,16
NORTE DE SANTANDER,CHITAGÁ,16
ANTIOQUIA,SONSON,16
NORTE DE SANTANDER,SAN CAYETANO,16
CESAR,MANAURE,16
SANTANDER,MÁLAGA,16
CALDAS,MARQUETALIA,16
VALLE,LA CUMBRE,16
ANTIOQUIA,CARAMANTA,16
ATLÁNTICO,POLONUEVO,16
ANTIOQUIA,EL BAGRE,16
CHOCÓ,UNIÓN PANAMERICANA,16
BOYACÁ,TÓPAGA,16
BOYACÁ,SAN MATEO,16
ANTIOQUIA,VALPARAÍSO,15
ANTIOQUIA,YALÍ,15
SANTANDER,SAN ANDRÉS,15
CESAR,GAMARRA,15
BOLÍVAR,VILLANUEVA,15
CAQUETÁ,CARTAGENA DEL CHAIRÁ,15
NARIÑO,SANTACRUZ,15
NARIÑO,BARBACOAS,15
CAQUETÁ,MORELIA,15
CAUCA,JAMBALÓ,15
BOYACÁ,CUCAITA,15
NORTE DE SANTANDER,SILOS,15
HUILA,TARQUI,14
BOYACÁ,MOTAVITA,14
NARIÑO,PUPIALES,14
BOYACÁ,SUSACÓN,14
BOYACÁ,FIRAVITOBA,14
HUILA,YAGUARÁ,14
CUNDINAMARCA,LA PALMA,14
ANTIOQUIA,ITUANGO,14
GUAVIARE,EL RETORNO,14
BOYACÁ,TOCA,14
CALDAS,ARANZAZU,14
CUNDINAMARCA,QUETAME,14
BOYACÁ,GUATEQUE,14
NARIÑO,CONSACA,14
HUILA,PAICOL,14
ATLÁNTICO,CANDELARIA,14
SUCRE,SAN LUIS DE SINCÉ,14
TOLIMA,PIEDRAS,14
CAUCA,ARGELIA,13
BOYACÁ,SORACÁ,13
BOYACÁ,SAN LUIS DE GACENO,13
TOLIMA,ANZOÁTEGUI,13
CUNDINAMARCA,ARBELÁEZ,13
TOLIMA,RIOBLANCO,13
CASANARE,OROCUÉ,13
ANTIOQUIA,LA UNIÓN,13
QUINDÍO,CÓRDOBA,13
CHOCÓ,ISTMINA,13
MAGDALENA,GUAMAL,13
CALDAS,VICTORIA,13
SANTANDER,SURATÁ,13
QUINDÍO,FILANDIA,12
PUTUMAYO,SANTIAGO,12
VICHADA,CUMARIBO,12
ANTIOQUIA,ZARAGOZA,12
CUNDINAMARCA,CAPARRAPÍ,12
QUINDÍO,GÉNOVA,12
TOLIMA,PRADO,12
NORTE DE SANTANDER,TEORAMA,12
ANTIOQUIA,GIRALDO,12
CUNDINAMARCA,CACHIPAY,12
ANTIOQUIA,LIBORINA,12
RISARALDA,MISTRATÓ,12
CHOCÓ,CÉRTEGUI,12
ANTIOQUIA,JERICÓ,12
CHOCÓ,EL CARMEN DE ATRATO,12
ANTIOQUIA,FREDONIA,12
HUILA,BARAYA,12
TOLIMA,SAN ANTONIO,12
CAUCA,SANTA ROSA,12
NORTE DE SANTANDER,CÁCOTA,12
BOYACÁ,OICATÁ,12
CAUCA,LA SIERRA,11
NARIÑO,YACUANQUER,11
CUNDINAMARCA,SUBACHOQUE,11
SANTANDER,SIMACOTA,11
ANTIOQUIA,GÓMEZ PLATA,11
NORTE DE SANTANDER,LA PLAYA,11
ANTIOQUIA,URAMITA,11
QUINDÍO,PIJAO,11
ANTIOQUIA,PUERTO NARE,11
GUAINÍA,INÍRIDA (CT),11
BOLÍVAR,ZAMBRANO,11
ANTIOQUIA,ENTRERRIOS,11
ANTIOQUIA,VENECIA,11
ANTIOQUIA,BETULIA,11
BOYACÁ,CUÍTIVA,11
CAUCA,FLORENCIA,11
HUILA,PALESTINA,11
META,CUBARRAL,11
ANTIOQUIA,BURITICÁ,11
CAUCA,PADILLA,11
SUCRE,SAN JUAN DE BETULIA,11
BOYACÁ,GARAGOA,11
ANTIOQUIA,BETANIA,11
CUNDINAMARCA,GUATAQUÍ,11
VALLE,ARGELIA,11
GUAJIRA,EL MOLINO,11
CASANARE,TÁMARA,11
BOYACÁ,GAMEZA,10
CÓRDOBA,CHIMÁ,10
BOYACÁ,SUTAMARCHÁN,10
ANTIOQUIA,ANZA,10
HUILA,TERUEL,10
CALDAS,SAMANÁ,10
SANTANDER,CAPITANEJO,10
TOLIMA,ICONONZO,10
CÓRDOBA,CANALETE,10
SANTANDER,GÜEPSA,10
QUINDÍO,BUENAVISTA,10
CESAR,PUEBLO BELLO,10
BOLÍVAR,SAN ESTANISLAO,10
BOYACÁ,TOTA,10
BOYACÁ,SOCHA,10
SANTANDER,LANDÁZURI,10
CÓRDOBA,SAN ANDRÉS SOTAVENTO,10
BOYACÁ,SANTA MARÍA,10
BOYACÁ,SOATÁ,10
BOYACÁ,SAN JOSÉ DE PARE,10
BOYACÁ,RAMIRIQUÍ,10
BOYACÁ,SOCOTÁ,10
ANTIOQUIA,TARSO,9
SANTANDER,ZAPATOCA,9
BOYACÁ,TUTAZÁ,9
TOLIMA,DOLORES,9
ANTIOQUIA,BELMIRA,9
BOYACÁ,SIACHOQUE,9
ATLÁNTICO,USIACURÍ,9
CUNDINAMARCA,SAN BERNARDO,9
TOLIMA,AMBALEMA,9
CUNDINAMARCA,ANOLAIMA,9
HUILA,VILLAVIEJA,9
CALDAS,PENSILVANIA,9
CAUCA,LA VEGA,9
BOLÍVAR,CICUCO,9
BOYACÁ,IZA,9
NARIÑO,CÓRDOBA,9
ARAUCA,PUERTO RONDÓN,9
BOYACÁ,SAN PABLO DE BORBUR,9
CÓRDOBA,PUERTO ESCONDIDO,9
HUILA,COLOMBIA,9
SANTANDER,EL CARMEN DE CHUCURÍ,9
NARIÑO,COLÓN,9
PUTUMAYO,COLÓN,9
META,EL CASTILLO,9
CUNDINAMARCA,JUNÍN,9
BOYACÁ,CHITA,9
SANTANDER,COROMORO,9
NORTE DE SANTANDER,SAN CALIXTO,9
BOYACÁ,TASCO,9
NARIÑO,EL ROSARIO,8
SANTANDER,GAMBITA,8
BOLÍVAR,TALAIGUA NUEVO,8
CALDAS,PÁCORA,8
ANTIOQUIA,HISPANIA,8
TOLIMA,VALLE DE SAN JUAN,8
NORTE DE SANTANDER,BOCHALEMA,8
BOYACÁ,OTANCHE,8
CUNDINAMARCA,CUCUNUBÁ,8
NARIÑO,PUERRES,8
CUNDINAMARCA,YACOPÍ,8
BOYACÁ,SORA,8
CÓRDOBA,TUCHÍN,8
NARIÑO,POLICARPA,8
MAGDALENA,SALAMINA,8
CAUCA,SOTARA,8
ANTIOQUIA,ANORÍ,8
NARIÑO,LA CRUZ,8
META,MESETAS,8
ANTIOQUIA,SAN ANDRÉS DE CUERQUÍA,8
NORTE DE SANTANDER,SALAZAR,8
NARIÑO,EL TAMBO,8
BOYACÁ,TIPACOQUE,8
NARIÑO,EL TABLÓN DE GÓMEZ,8
SUCRE,CAIMITO,8
MAGDALENA,SAN SEBASTIÁN DE BUENAVISTA,8
SANTANDER,ONZAGA,8
BOYACÁ,CERINZA,8
PUTUMAYO,SAN FRANCISCO,8
SANTANDER,VETAS,8
NARIÑO,LOS ANDES,8
BOYACÁ,CUBARÁ,8
PUTUMAYO,PUERTO LEGUÍZAMO,8
